,2020/2/25,2020/3/4,2020/3/8,2020/3/12,2020/3/16,2020/3/20,2020/3/24,2020/3/28,2020/3/31,population,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80+ years
Abruzzo,0 ,7 ,17 ,84 ,176 ,449 ,689 ,"1,133 ","1,401 ","1,311,580 ","104,868 ","117,094 ","134,238 ","156,306 ","196,299 ","203,139 ","167,393 ","129,508 ","102,735 "
Basilicata,0 ,1 ,4 ,8 ,12 ,52 ,92 ,182 ,226 ,"562,869 ","41,991 ","52,979 ","63,504 ","67,268 ","81,348 ","88,030 ","72,610 ","51,445 ","43,694 "
Calabria,0 ,1 ,9 ,33 ,89 ,207 ,319 ,555 ,659 ,"1,947,131 ","165,312 ","190,676 ","227,036 ","248,301 ","277,410 ","290,512 ","242,138 ","174,360 ","131,386 "
Campania,0 ,31 ,101 ,179 ,400 ,749 ,"1,101 ","1,592 ","2,092 ","5,801,692 ","530,912 ","641,470 ","715,901 ","736,472 ","860,147 ","868,548 ","666,878 ","480,067 ","301,297 "
Emilia-Romagna,26 ,544 ,"1,180 ","1,947 ","3,522 ","5,968 ","9,254 ","12,383 ","14,074 ","4,459,477 ","378,176 ","404,912 ","416,656 ","509,891 ","709,189 ","691,144 ","534,643 ","454,624 ","360,242 "
Friuli-Venezia Giulia,0 ,18 ,57 ,167 ,386 ,656 ,992 ,"1,436 ","1,593 ","1,215,220 ","93,182 ","106,022 ","110,352 ","129,345 ","185,081 ","194,188 ","155,142 ","141,583 ","100,325 "
Lazio?[Latium],3 ,30 ,87 ,200 ,523 ,"1,008 ","1,728 ","2,505 ","3,095 ","5,879,082 ","506,283 ","546,882 ","584,104 ","717,632 ","946,659 ","931,157 ","695,812 ","555,882 ","394,671 "
Liguria,1 ,26 ,78 ,274 ,667 ,"1,221 ","2,116 ","2,822 ","3,416 ","1,550,640 ","109,118 ","128,322 ","138,660 ","151,638 ","223,467 ","252,494 ","203,327 ","189,487 ","154,127 "
Lombardia?[Lombardy],240 ,"1,820 ","4,189 ","8,725 ","14,649 ","22,264 ","30,703 ","39,415 ","43,208 ","10,060,574 ","884,414 ","961,237 ","982,354 ","1,187,594 ","1,591,034 ","1,566,175 ","1,182,159 ","994,236 ","711,371 "
Marche,0 ,84 ,272 ,592 ,"1,242 ","1,981 ","2,736 ","3,373 ","3,825 ","1,525,271 ","123,450 ","138,615 ","148,825 ","172,352 ","230,374 ","233,788 ","191,098 ","156,257 ","130,512 "
Molise,0 ,3 ,14 ,16 ,21 ,50 ,73 ,123 ,144 ,"305,617 ","21,948 ","26,617 ","33,639 ","36,111 ","43,484 ","47,515 ","40,461 ","29,869 ","25,973 "
Piemonte?[Piedmont],3 ,82 ,360 ,580 ,"1,516 ","3,461 ","5,515 ","7,671 ","9,301 ","4,356,406 ","346,338 ","386,792 ","409,014 ","472,194 ","658,299 ","682,253 ","558,840 ","479,555 ","363,121 "
Puglia?[Apulia],0 ,9 ,40 ,104 ,230 ,581 ,"1,005 ","1,458 ","1,803 ","4,029,053 ","332,668 ","407,564 ","454,334 ","480,448 ","601,316 ","606,678 ","492,806 ","388,850 ","264,389 "
Sardegna?[Sardinia],0 ,2 ,11 ,39 ,107 ,293 ,421 ,624 ,722 ,"1,639,591 ","116,308 ","138,239 ","158,533 ","193,523 ","260,127 ","266,150 ","223,054 ","170,211 ","113,446 "
Sicilia?[Sicily],3 ,18 ,53 ,115 ,213 ,408 ,846 ,"1,359 ","1,647 ","4,999,891 ","440,105 ","515,344 ","585,416 ","614,982 ","726,189 ","738,060 ","605,502 ","458,247 ","316,046 "
Toscana?[Tuscany],2 ,38 ,166 ,364 ,866 ,"1,793 ","2,699 ","3,817 ","4,608 ","3,729,641 ","294,910 ","331,182 ","343,614 ","414,568 ","575,674 ","582,074 ","462,876 ","410,421 ","314,322 "
Trentino-Alto Adige?(Trient-S¨¹dtirol),1 ,6 ,32 ,211 ,619 ,"1,190 ","1,891 ","2,614 ","3,117 ","1,072,276 ","104,971 ","113,364 ","118,184 ","124,746 ","157,612 ","165,791 ","120,670 ","97,855 ","69,083 "
Umbria,0 ,9 ,26 ,64 ,164 ,395 ,648 ,969 ,"1,078 ","882,015 ","70,074 ","79,194 ","82,608 ","100,350 ","132,027 ","135,143 ","110,810 ","94,959 ","76,850 "
Valle d'Aosta?[Aosta Valley],0 ,0 ,9 ,27 ,105 ,264 ,400 ,511 ,628 ,"125,666 ","10,528 ","11,907 ","11,914 ","13,445 ","19,293 ","20,406 ","15,903 ","12,951 ","9,319 "
Veneto?[Venetia],43 ,360 ,670 ,"1,384 ","2,473 ","4,031 ","5,948 ","7,930 ","9,155 ","4,905,854 ","414,926 ","470,462 ","482,384 ","547,052 ","767,625 ","788,986 ","595,088 ","492,166 ","347,165 "
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
